"state_alpha2","year","race","mu","dimension"
"AZ","1967","1",0.346046667431711,"all"
"AR","1967","1",0.368389749015734,"all"
"CA","1967","1",0.344686869630847,"all"
"CO","1967","1",0.345961624982054,"all"
"CT","1967","1",0.325412397283936,"all"
"DE","1967","1",0.363762097923035,"all"
"DC","1967","1",0.349751584249173,"all"
"FL","1967","1",0.364420819653557,"all"
"GA","1967","1",0.362035003151545,"all"
"HI","1967","1",0.34388239392396,"all"
"ID","1967","1",0.349320647985269,"all"
"IL","1967","1",0.338436144345612,"all"
"IN","1967","1",0.340407098132153,"all"
"IA","1967","1",0.323352534654411,"all"
"KS","1967","1",0.322234002492654,"all"
"KY","1967","1",0.358323912278764,"all"
"LA","1967","1",0.367979904904738,"all"
"ME","1967","1",0.327549451322957,"all"
"MD","1967","1",0.362557430389644,"all"
"MA","1967","1",0.326176323902812,"all"
"MI","1967","1",0.339467332836756,"all"
"MN","1967","1",0.321395721571144,"all"
"MS","1967","1",0.361197919970633,"all"
"MO","1967","1",0.320173567280304,"all"
"MT","1967","1",0.347991117737079,"all"
"NE","1967","1",0.323493128580842,"all"
"NV","1967","1",0.351997056043426,"all"
"NH","1967","1",0.326926910981595,"all"
"NJ","1967","1",0.345013243055044,"all"
"NM","1967","1",0.345684748151666,"all"
"NY","1967","1",0.343748226412283,"all"
"NC","1967","1",0.362325006342653,"all"
"ND","1967","1",0.321123193693791,"all"
"OH","1967","1",0.340001601452766,"all"
"OK","1967","1",0.368615056563938,"all"
"OR","1967","1",0.346090480678016,"all"
"PA","1967","1",0.347183288947781,"all"
"RI","1967","1",0.325466426692631,"all"
"SC","1967","1",0.361909190033055,"all"
"SD","1967","1",0.32162320151017,"all"
"TN","1967","1",0.359558356821296,"all"
"TX","1967","1",0.366523865289052,"all"
"UT","1967","1",0.346374849020834,"all"
"VT","1967","1",0.326150432637337,"all"
"VA","1967","1",0.361910524946125,"all"
"WA","1967","1",0.346482818321033,"all"
"WV","1967","1",0.364128269271365,"all"
"WI","1967","1",0.339917762909229,"all"
"WY","1967","1",0.348869949068346,"all"
"all","1967","1",0.345944904185305,"all"
"AL","1968","1",0.463854146176862,"all"
"AK","1968","1",0.450526701780515,"all"
"AZ","1968","1",0.447673744255365,"all"
"AR","1968","1",0.472031256430215,"all"
"CA","1968","1",0.446079840760196,"all"
"CO","1968","1",0.447555615223446,"all"
"CT","1968","1",0.424876054776094,"all"
"DE","1968","1",0.466852861272002,"all"
"DC","1968","1",0.450061189572863,"all"
"FL","1968","1",0.467577160618595,"all"
"GA","1968","1",0.464955294498347,"all"
"HI","1968","1",0.445225384693952,"all"
"ID","1968","1",0.451338829789387,"all"
"IL","1968","1",0.439377956107215,"all"
"IN","1968","1",0.441656029120037,"all"
"IA","1968","1",0.422749874785301,"all"
"KS","1968","1",0.421436605390725,"all"
"KY","1968","1",0.461229155988626,"all"
"LA","1968","1",0.471466616992545,"all"
"ME","1968","1",0.427362463269779,"all"
"MD","1968","1",0.465499724418242,"all"
"MA","1968","1",0.425683533023645,"all"
"MI","1968","1",0.440514642782944,"all"
"MN","1968","1",0.42051300405807,"all"
"MS","1968","1",0.464231389357566,"all"
"MO","1968","1",0.419191302461264,"all"
"MT","1968","1",0.44981161597442,"all"
"NE","1968","1",0.422887758033481,"all"
"NV","1968","1",0.454316147727543,"all"
"NH","1968","1",0.426640523053766,"all"
"NJ","1968","1",0.446563157642044,"all"
"NM","1968","1",0.447318666472228,"all"
"NY","1968","1",0.445125046550512,"all"
"NC","1968","1",0.465339967458889,"all"
"ND","1968","1",0.420293644855245,"all"
"OH","1968","1",0.441191523626232,"all"
"OK","1968","1",0.472173463986281,"all"
"OR","1968","1",0.447603881151923,"all"
"PA","1968","1",0.449123160518893,"all"
"RI","1968","1",0.425239860492515,"all"
"SC","1968","1",0.46490341464141,"all"
"SD","1968","1",0.42072886537203,"all"
"TN","1968","1",0.462519458347663,"all"
"TX","1968","1",0.469749517567338,"all"
"UT","1968","1",0.44788334763698,"all"
"VT","1968","1",0.425792276149597,"all"
"VA","1968","1",0.464813862588728,"all"
"WA","1968","1",0.448133268857616,"all"
"WV","1968","1",0.46764246604333,"all"
"WI","1968","1",0.441052008370098,"all"
"WY","1968","1",0.450723590920246,"all"
"all","1968","1",0.447559723267434,"all"
"AL","1969","1",0.44531252622476,"all"
"AK","1969","1",0.431639503313947,"all"
"AZ","1969","1",0.429146432850718,"all"
"AR","1969","1",0.453406042475626,"all"
"CA","1969","1",0.427481202124009,"all"
"CO","1969","1",0.429046479609466,"all"
"CT","1969","1",0.406551374691335,"all"
"DE","1969","1",0.448166482927336,"all"
"DC","1969","1",0.429971273176423,"all"
"FL","1969","1",0.44887878188358,"all"
"GA","1969","1",0.446160408681984,"all"
"HI","1969","1",0.426769460952102,"all"
"ID","1969","1",0.432806396446912,"all"
"IL","1969","1",0.420948888753476,"all"
"IN","1969","1",0.423292149171616,"all"
"IA","1969","1",0.404576318590163,"all"
"KS","1969","1",0.403245652964084,"all"
"KY","1969","1",0.442673895685807,"all"
"LA","1969","1",0.452780288532931,"all"
"ME","1969","1",0.409042284273287,"all"
"MD","1969","1",0.446758435618374,"all"
"MA","1969","1",0.407310360277476,"all"
"MI","1969","1",0.422061706391283,"all"
"MN","1969","1",0.402322184705151,"all"
"MS","1969","1",0.445627597527569,"all"
"MO","1969","1",0.401035265303968,"all"
"MT","1969","1",0.431276074201688,"all"
"NE","1969","1",0.404706972485286,"all"
"NV","1969","1",0.43587630445686,"all"
"NH","1969","1",0.408336081277198,"all"
"NJ","1969","1",0.428043578314686,"all"
"NM","1969","1",0.428827800291271,"all"
"NY","1969","1",0.42658198358255,"all"
"NC","1969","1",0.446579551311302,"all"
"ND","1969","1",0.402109056390831,"all"
"OH","1969","1",0.422824488267415,"all"
"OK","1969","1",0.453521945126813,"all"
"OR","1969","1",0.428969289025784,"all"
"PA","1969","1",0.430725340013868,"all"
"RI","1969","1",0.407110689112813,"all"
"SC","1969","1",0.44617085212677,"all"
"SD","1969","1",0.402461169837025,"all"
"TN","1969","1",0.443939937561339,"all"
"TX","1969","1",0.450922555078271,"all"
"UT","1969","1",0.429258289853439,"all"
"VT","1969","1",0.40750358863387,"all"
"VA","1969","1",0.446060698377576,"all"
"WA","1969","1",0.429608814188401,"all"
"WV","1969","1",0.449192995345635,"all"
"WI","1969","1",0.422625680686061,"all"
"WY","1969","1",0.43211772885437,"all"
"all","1969","1",0.429097893326971,"all"
"AL","1970","1",0.584879666921966,"all"
"AK","1970","1",0.570595260203258,"all"
"AZ","1970","1",0.568620389519737,"all"
"AR","1970","1",0.592801334581964,"all"
"CA","1970","1",0.566845579721828,"all"
"CO","1970","1",0.568480475044301,"all"
"CT","1970","1",0.545633997480953,"all"
"DE","1970","1",0.587437332004513,"all"
"DC","1970","1",0.567392578954709,"all"
"FL","1970","1",0.588176773986475,"all"
"GA","1970","1",0.585477979202172,"all"
"HI","1970","1",0.566110105718916,"all"
"ID","1970","1",0.572399758744859,"all"
"IL","1970","1",0.560415370292697,"all"
"IN","1970","1",0.562905094814874,"all"
"IA","1970","1",0.543787695853398,"all"
"KS","1970","1",0.542346340304095,"all"
"KY","1970","1",0.582308655762666,"all"
"LA","1970","1",0.592061305183939,"all"
"ME","1970","1",0.548341742377986,"all"
"MD","1970","1",0.586007509145274,"all"
"MA","1970","1",0.546373958193935,"all"
"MI","1970","1",0.561547042195105,"all"
"MN","1970","1",0.541398860555302,"all"
"MS","1970","1",0.585108697556252,"all"
"MO","1970","1",0.540128133984967,"all"
"MT","1970","1",0.570748859275951,"all"
"NE","1970","1",0.543902194530203,"all"
"NV","1970","1",0.575476759401001,"all"
"NH","1970","1",0.547557906782081,"all"
"NJ","1970","1",0.567531142778948,"all"
"NM","1970","1",0.568338361803118,"all"
"NY","1970","1",0.565999298418681,"all"
"NC","1970","1",0.585969643820028,"all"
"ND","1970","1",0.541308029443666,"all"
"OH","1970","1",0.562404557564525,"all"
"OK","1970","1",0.592793345305072,"all"
"OR","1970","1",0.568319750252177,"all"
"PA","1970","1",0.570411183408574,"all"
"RI","1970","1",0.546563247593602,"all"
"SC","1970","1",0.585579203560517,"all"
"SD","1970","1",0.541515535187431,"all"
"TN","1970","1",0.583507050806653,"all"
"TX","1970","1",0.590106914675446,"all"
"UT","1970","1",0.568563468510703,"all"
"VT","1970","1",0.546727232131897,"all"
"VA","1970","1",0.58534658217425,"all"
"WA","1970","1",0.569054688446465,"all"
"WV","1970","1",0.588881247245437,"all"
"WI","1970","1",0.562158962615003,"all"
"WY","1970","1",0.571560491213892,"all"
"all","1970","1",0.568538370817102,"all"
"AL","1971","1",0.452810689058944,"all"
"AK","1971","1",0.438373907817101,"all"
"AZ","1971","1",0.43634532949416,"all"
"AR","1971","1",0.46107719766536,"all"
"CA","1971","1",0.434409214124187,"all"
"CO","1971","1",0.435890977518671,"all"
