"race","income","year","count","rate","number","class"
"black","50000 to 74999",2000,72932,27.7,2632924.18772563,"middle"
"black","50000 to 74999",2001,16555,6.1,2713934.42622951,"middle"
"black","50000 to 74999",2002,16686,6.2,2691290.32258064,"middle"
"black","50000 to 74999",2003,38184,15.2,2512105.26315789,"middle"
"black","50000 to 74999",2004,47396,19.3,2455751.29533679,"middle"
"black","50000 to 74999",2005,28112,11,2555636.36363636,"middle"
"black","50000 to 74999",2006,62990,21.2,2971226.41509434,"middle"
"black","50000 to 74999",2007,17798,6.6,2696666.66666667,"middle"
"black","50000 to 74999",2008,22712,8,2839000,"middle"
"black","50000 to 74999",2009,27742,9.9,2802222.22222222,"middle"
"black","50000 to 74999",2010,15467,5.7,2713508.77192982,"middle"
"black","50000 to 74999",2011,4439,1.6,2774375,"middle"
"black","50000 to 74999",2012,19764,6.4,3088125,"middle"
"black","50000 to 74999",2013,10907,3.4,3207941.17647059,"middle"
"black","50000 to 74999",2014,22605,6.9,3276086.95652174,"middle"
"black","50000 to 74999",2015,2346,0.7,3351428.57142857,"middle"
"black","7500 to 14999",1993,314105,66.7,4709220.3898051,"poor"
"black","7500 to 14999",1994,181117,40.5,4472024.69135802,"poor"
"black","7500 to 14999",1995,154102,35.4,4353163.84180791,"poor"
"black","7500 to 14999",1996,118572,27.8,4265179.85611511,"poor"
"black","7500 to 14999",1997,91360,21,4350476.19047619,"poor"
"black","7500 to 14999",1998,100429,26.1,3847854.40613027,"poor"
"black","7500 to 14999",1999,153523,43.5,3529264.36781609,"poor"
"black","7500 to 14999",2000,78295,24.9,3144377.51004016,"poor"
"black","7500 to 14999",2001,63240,20.4,3100000,"poor"
"black","7500 to 14999",2002,104556,34.8,3004482.75862069,"poor"
"black","7500 to 14999",2003,49782,17.1,2911228.07017544,"poor"
"black","7500 to 14999",2004,63171,22.8,2770657.89473684,"poor"
"black","7500 to 14999",2005,23774,8.5,2796941.17647059,"poor"
"black","7500 to 14999",2006,79430,30.6,2595751.63398693,"poor"
"black","7500 to 14999",2007,63362,30.9,2050550.1618123,"poor"
"black","7500 to 14999",2008,43761,24.1,1815809.12863071,"poor"
"black","7500 to 14999",2009,52556,25,2102240,"poor"
"black","7500 to 14999",2010,24760,12,2063333.33333333,"poor"
"black","7500 to 14999",2011,55765,22.7,2456607.92951542,"poor"
"black","7500 to 14999",2012,55950,20.7,2702898.55072464,"poor"
"black","7500 to 14999",2013,52276,19.2,2722708.33333333,"poor"
"black","7500 to 14999",2014,15790,6,2631666.66666667,"poor"
"black","7500 to 14999",2015,48896,21.1,2317345.97156398,"poor"
"black","75000 or more",1993,20517,37.7,544217.5066313,"rich"
"black","75000 or more",1994,29862,41.5,719566.265060241,"rich"
"black","75000 or more",1995,21333,24.4,874303.278688525,"rich"
"black","75000 or more",1996,8552,8.6,994418.604651163,"rich"
"black","75000 or more",1997,26943,23.1,1166363.63636364,"rich"
"black","75000 or more",1998,13671,9.5,1439052.63157895,"rich"
"black","75000 or more",1999,48318,31.2,1548653.84615385,"rich"
"black","75000 or more",2000,23277,12.1,1923719.00826446,"rich"
"black","75000 or more",2001,11639,5.7,2041929.8245614,"rich"
"black","75000 or more",2002,19375,8.5,2279411.76470588,"rich"
"black","75000 or more",2003,20220,8.3,2436144.57831325,"rich"
"black","75000 or more",2004,17672,6.4,2761250,"rich"
"black","75000 or more",2005,21760,8.5,2560000,"rich"
"black","75000 or more",2006,12903,4.4,2932500,"rich"
"black","75000 or more",2007,9176,2.8,3277142.85714286,"rich"
"black","75000 or more",2008,14519,4.1,3541219.51219512,"rich"
"black","75000 or more",2009,34153,10,3415300,"rich"
"black","75000 or more",2010,17580,5.2,3380769.23076923,"rich"
"black","75000 or more",2011,NA,NA,NA,"rich"
"black","75000 or more",2012,NA,NA,NA,"rich"
"black","75000 or more",2013,14384,3.6,3995555.55555556,"rich"
"black","75000 or more",2014,37439,9,4159888.88888889,"rich"
"black","75000 or more",2015,7522,1.9,3958947.36842105,"rich"
"black","less than 7500",1993,259615,50.1,5181936.12774451,"poor"
"black","less than 7500",1994,298475,63.5,4700393.7007874,"poor"
"black","less than 7500",1995,234252,55.2,4243695.65217391,"poor"
"black","less than 7500",1996,148219,37.9,3910791.55672823,"poor"
"black","less than 7500",1997,147957,42.3,3497801.41843972,"poor"
"black","less than 7500",1998,132897,41.7,3186978.41726619,"poor"
"black","less than 7500",1999,141727,48.9,2898302.65848671,"poor"
"black","less than 7500",2000,81589,30.1,2710598.00664452,"poor"
"black","less than 7500",2001,106903,42.9,2491911.42191142,"poor"
"black","less than 7500",2002,54922,25.7,2137042.80155642,"poor"
"black","less than 7500",2003,56178,28,2006357.14285714,"poor"
"black","less than 7500",2004,18679,8.9,2098764.04494382,"poor"
"black","less than 7500",2005,44272,22.4,1976428.57142857,"poor"
"black","less than 7500",2006,120979,57.7,2096689.77469671,"poor"
"black","less than 7500",2007,72299,38.5,1877896.1038961,"poor"
"black","less than 7500",2008,44233,26.5,1669169.81132075,"poor"
"black","less than 7500",2009,75344,42.1,1789643.70546318,"poor"
"black","less than 7500",2010,55825,28.4,1965669.01408451,"poor"
"black","less than 7500",2011,35747,17.8,2008258.42696629,"poor"
"black","less than 7500",2012,49519,21.8,2271513.76146789,"poor"
"black","less than 7500",2013,49713,21.5,2312232.55813953,"poor"
"black","less than 7500",2014,30427,16.6,1832951.80722892,"poor"
"black","less than 7500",2015,27453,14.7,1867551.02040816,"poor"
"other","15000 to 24999",1993,77645,74.2,1046428.57142857,"middle"
"other","15000 to 24999",1994,22280,20.6,1081553.39805825,"middle"
"other","15000 to 24999",1995,42129,40.4,1042797.02970297,"middle"
"other","15000 to 24999",1996,11698,9.9,1181616.16161616,"middle"
"other","15000 to 24999",1997,16820,13.4,1255223.88059701,"middle"
"other","15000 to 24999",1998,14539,13.8,1053550.72463768,"middle"
"other","15000 to 24999",1999,2773,2.8,990357.142857143,"middle"
"other","15000 to 24999",2000,13399,13.9,963956.834532374,"middle"
"other","15000 to 24999",2001,2499,2.6,961153.846153846,"middle"
"other","15000 to 24999",2002,6915,7.6,909868.421052632,"middle"
"other","15000 to 24999",2003,38886,31.4,1238407.6433121,"middle"
"other","15000 to 24999",2004,9352,8,1169000,"middle"
"other","15000 to 24999",2005,9219,7.6,1213026.31578947,"middle"
"other","15000 to 24999",2006,42133,33.7,1250237.38872404,"middle"
"other","15000 to 24999",2007,2215,2.3,963043.47826087,"middle"
"other","15000 to 24999",2008,19414,19.8,980505.05050505,"middle"
"other","15000 to 24999",2009,10545,11,958636.363636364,"middle"
"other","15000 to 24999",2010,13245,12.1,1094628.09917355,"middle"
"other","15000 to 24999",2011,6881,6.1,1128032.78688525,"middle"
"other","15000 to 24999",2012,20729,16,1295562.5,"middle"
"other","15000 to 24999",2013,5098,3.7,1377837.83783784,"middle"
"other","15000 to 24999",2014,14767,12.1,1220413.2231405,"middle"
"other","15000 to 24999",2015,12193,10.9,1118623.85321101,"middle"
"other","25000 to 34999",1993,21931,26.4,830719.696969697,"middle"
"other","25000 to 34999",1994,28676,32.6,879631.901840491,"middle"
"other","25000 to 34999",1995,43425,41.7,1041366.90647482,"middle"
"other","25000 to 34999",1996,17431,19.8,880353.535353535,"middle"
"other","25000 to 34999",1997,6838,7,976857.142857143,"middle"
"other","25000 to 34999",1998,43817,42.9,1021375.29137529,"middle"
"other","25000 to 34999",1999,2773,2.8,990357.142857143,"middle"
"other","25000 to 34999",2000,9198,10.2,901764.705882353,"middle"
"other","25000 to 34999",2001,7669,8.7,881494.252873563,"middle"
"other","25000 to 34999",2002,8877,11.5,771913.043478261,"middle"
"other","25000 to 34999",2003,9077,8.9,1019887.64044944,"middle"
"other","25000 to 34999",2004,51878,48.9,1060899.79550102,"middle"
"other","25000 to 34999",2005,23610,21.5,1098139.53488372,"middle"
"other","25000 to 34999",2006,23768,25,950720,"middle"
"other","25000 to 34999",2007,23054,22.8,1011140.35087719,"middle"
"other","25000 to 34999",2008,14564,14.4,1011388.88888889,"middle"
"other","25000 to 34999",2009,5844,5.1,1145882.35294118,"middle"
"other","25000 to 34999",2010,22871,18.3,1249781.42076503,"middle"
"other","25000 to 34999",2011,10962,9.3,1178709.67741935,"middle"
"other","25000 to 34999",2012,9245,7.2,1284027.77777778,"middle"
"other","25000 to 34999",2013,24390,16.8,1451785.71428571,"middle"
"other","25000 to 34999",2014,8953,6.2,1444032.25806452,"middle"
"other","25000 to 34999",2015,9147,7.2,1270416.66666667,"middle"
"other","35000 to 49999",1993,17600,14.5,1213793.10344828,"middle"
"other","35000 to 49999",1994,21798,22.2,981891.891891892,"middle"
"other","35000 to 49999",1995,12966,13,997384.615384615,"middle"
"other","35000 to 49999",1996,13232,12.4,1067096.77419355,"middle"
"other","35000 to 49999",1997,2351,2.1,1119523.80952381,"middle"
"other","35000 to 49999",1998,7473,6.2,1205322.58064516,"middle"
"other","35000 to 49999",1999,12334,9.1,1355384.61538462,"middle"
"other","35000 to 49999",2000,2507,2.1,1193809.52380952,"middle"
"other","35000 to 49999",2001,11283,9,1253666.66666667,"middle"
"other","35000 to 49999",2002,14109,12.3,1147073.17073171,"middle"
"other","35000 to 49999",2003,9166,6.1,1502622.95081967,"middle"
"other","35000 to 49999",2004,2542,1.6,1588750,"middle"
"other","35000 to 49999",2005,6154,4.1,1500975.6097561,"middle"
"other","35000 to 49999",2006,34666,23.1,1500692.64069264,"middle"
"other","35000 to 49999",2007,15629,10,1562900,"middle"
"other","35000 to 49999",2008,17070,10.5,1625714.28571429,"middle"
"other","35000 to 49999",2009,11969,7.3,1639589.04109589,"middle"
"other","35000 to 49999",2010,42251,24.3,1738724.27983539,"middle"
"other","35000 to 49999",2011,8423,4.8,1754791.66666667,"middle"
"other","35000 to 49999",2012,15283,8.3,1841325.30120482,"middle"
"other","35000 to 49999",2013,16890,10.3,1639805.82524272,"middle"
"other","35000 to 49999",2014,NA,NA,NA,"middle"
